city,count
Swartz Creek,51
Uxbridge,51
Providence,51
Presque Isle,51
Bellerose,50
Center Rutland,50
Utica,50
Brentwood,50
Passaic,49
Elmont,49
New Brunswick,49
E Boston,49
Wantage,49
Dallas,49
Wrightstown,49
Hilliard,49
Herkimer,49
Turner,48
Bryan,48
Manalapan,48
Waltham,47
Epping,47
Lake Hopatcong,47
Ionia,47
Frankfort,46
Lewiston,46
Wilbraham,45
Revere,45
Denver,45
Madison,43
Kansas City,43
Las Vegas,42
Whitinsville,42
Keyport,42
Plantsville,42
Marietta,42
Maynard,42
Orlando,42
Terre Haute,42
Sheldon,41
Nyack,41
Colon,41
Medway,41
Brewer,41
Central Islip,40
Memphis,40
Goldens Bridge,40
Phoenix,39
Elizabethtown,39
Rensselaer,39
Bayonne,39
Enosburg Falls,38
El Cajon,38
Dearborn Heights,38
East Islip,37
Windham,37
Syracuse,37
Dowagiac,37
Jacksonville,37
Austin,37
Islip Terrace,36
Garrett,36
Tampa,36
Ware,36
Lake Odessa,36
Mine Hill,36
Middle Village,36
Little Neck,36
Rowley,36
Ticonderoga,36
Alexandria,35
Tamworth,34
Nashville,34
El Paso,34
Morrisville,34
Cohasset,34
Bellingham,33
Gibsonburg,33
Tiffin,33
Chicago,33
Spofford,33
Commack,33
Dublin,32
Woodsville,32
Bountiful,32
N Ferrisburgh,32
Bayamon,32
Boise,32
Millbury,31
Fremont,31
South Hadley,31
Oxnard,31
Waterford Twp,31
Grove City,31
Essex Junction,31
Salt Lake City,31
Nantucket,31
Ellenville,30
Amarillo,30
San Jose,30
Springfield Gardens,30
Norton,29
Silver Lake,29
Oklahoma City,29
Massapequa Park,29
West Wareham,29
Louisville,29
Larwill,28
Hamilton Township,28
Marshfield,28
Staten Island,28
Roselle Park,28
Plainview,28
East Patchogue,28
Winsted,28
Mattawan,27
Frisco,27
Philadelphia,27
Houlton,27
Center Conway,27
Costa Mesa,27
Greenville,27
Bowling Green,27
Clearwater,27
Randolph,27
Sanford,27
Raleigh,26
Minneapolis,26
Wantagh,26
Spencer,26
Ringwood,26
Oyster Bay,26
Highland Park,25
Manassas,25
North Easton,25
New Sharon,25
Fraser,25
Kennesaw,25
Fallston,25
Milwaukee,25
Eugene,24
Holbrook,24
East Brunswick,24
Mastic,24
Round Lake,24
Round Rock,24
Hampden,24
South Orange,23
Celina,23
Bound Brook,23
Colorado Springs,23
South Berwick,23
Santa Fe Springs,23
Tacoma,23
West Haven,23
Saddle River,22
Amesbury,22
Fort Worth,22
Bethel,22
Aurora,22
Virginia Beach,22
Akron,22
Rehoboth,21
Pittsburgh,21
Middleville,21
Fair Haven,21
East Granby,21
South Dartmouth,21
West Yarmouth,21
North Grafton,21
Swampscott,21
Bellevue,21
Bluffton,21
Dracut,21
Hazlet,21
Halfmoon,21
Cleveland,20
Dover Foxcroft,20
Nottawa,20
Southwick,20
Honolulu,20
Pulaski,20
Pasadena,20
West Palm Beach,20
Waterboro,20
Hazel Park,20
Port Jervis,20
Fairview,20
East Wareham,19
Mount Morris,19
Waxahachie,19
Lynnwood,19
Grand Prairie,19
Sabattus,19
Dalton,19
Branchville,18
Feasterville-Trevose,18
Schaumburg,18
Hamilton,18
Fayetteville,18
Peru,18
Fort Lauderdale,18
Henderson,18
Fresno,18
East Bridgewater,18
Amherst,17
Broken Arrow,17
Muskegon,17
Wilmington,17
Golden,17
American Fork,17
North Anson,17
O Fallon,17
Williamston,17
San Diego,17
North Andover,17
Phillipston,17
